epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4962.4,0.86705,3.27461,1.22655,0.19916,0.19223,0.14559,0.11391,0.81748,3.16812,1.16947,3.91316e-05,3.91316e-05,3.91316e-05
2,9563.16,0.86665,2.99014,1.1994,0.30284,0.27999,0.22619,0.18052,0.79979,2.7437,1.1402,3.96248e-05,3.96248e-05,3.96248e-05
